ID,price,bedroom,bathroom,house_type,air_conditioning,status,parking,heating fuel,basement,lawn,attic,refrigerator,dishwasher,microwave,fireplace,porch,washer,dryer,lot_size,built_in,mls_id,zip,floors,roof,patio,vaulted_ceiling,new_construction,skylight,pool,jetted_bath,security_system,architecture,garbage_disposal,double_pan_windows,exterior,view,rooms,heating,area,other,street,deck,garden,heating_fuel,ceiling_fan
37,189900,3,1,single-family home,FALSE,for sale,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.64,1900,ro9995363,22840,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,,,,Town Hall Rd,FALSE,FALSE,,FALSE
38,100000,3,2,single-family home,FALSE,for sale,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.82,1961,564293,24486,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,,2495,,Virginia Mills Rd,FALSE,FALSE,,FALSE
39,124995,4,2,single-family home,FALSE,pending,,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,7405,1825,565257,22815,"hardwood, linoleumvinyl",metal,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,queen annevictorian,FALSE,FALSE,,,,,2335,,1st St,TRUE,TRUE,,FALSE
40,239900,4,3,single-family home,FALSE,for sale,other,,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,0.26,1876,564084,22821,"carpet, hardwood, laminate, tile",metal,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,,2276,,Mill St,TRUE,TRUE,,FALSE
41,66000,2,2,condo,FALSE,pending,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,1988,564395,22802,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,,1012,,Blue Ridge Dr #1,FALSE,FALSE,,FALSE
42,66000,2,2,condo,TRUE,pending,,,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,,1988,564524,22801,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,,1012,,Hunters Rd #G,FALSE,FALSE,,FALSE
43,109900,3,2,single-family home,FALSE,pending,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2.5,2000,565046,22802,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,,1456,,Cory Ln,FALSE,FALSE,,FALSE
44,285000,4,2,single-family home,FALSE,pending,other,,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,0.4,2010,563585,22801,"carpet, hardwood, tile",composition,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,,1894,,Landon Dr,TRUE,TRUE,,FALSE
45,214900,4,2,single-family home,TRUE,for sale,,,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,0.31,1950,565093,22801,hardwood,composition,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,,1574,,Monument Ave,TRUE,TRUE,,FALSE
46,257900,4,3,single-family home,TRUE,pending,other,,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,10454,2002,564283,22801,"carpet, laminate",composition,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,,2288,,Evergreen Dr,TRUE,FALSE,,FALSE
47,179900,3,1,single-family home,FALSE,for sale,,,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,0.63,1957,565185,22802,"carpet, hardwood, linoleumvinyl",composition,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,ranchrambler,FALSE,FALSE,,,,,2430,,Kratzer Rd,FALSE,FALSE,,FALSE
48,80200,2,1,single-family home,FALSE,pending,,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,6969,1920,563658,22802,"carpet, linoleumvinyl",metal,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,,624,,Simms Ave,TRUE,FALSE,gas,FALSE
49,139900,4,1,single-family home,FALSE,for sale,other,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1.77,1870,565254,24421,"carpet, hardwood",,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,,1677,,Hundley Distillery Rd,FALSE,TRUE,,FALSE
50,120000,4,2,townhouse,FALSE,for sale,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,1989,564816,22801,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,,1352,,Bradley Dr,FALSE,FALSE,,FALSE
51,299900,4,2,single-family home,TRUE,for sale,,,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0.25,1900,563579,22812,"carpet, hardwood, tile",metal,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,queen annevictorian,FALSE,FALSE,,,,,2630,,N Main St,FALSE,FALSE,,FALSE
52,174900,3,2,condo,TRUE,pending,other,,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.35,1990,563353,22802,"hardwood, laminate, linoleumvinyl",composition,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,,1550,,Goldfinch Dr,TRUE,FALSE,,FALSE
53,99500,2,1,condo,TRUE,pending,,,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,10454,1975,564787,22802,"carpet, hardwood, linoleumvinyl",composition,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,,1500,,Meadowlark Dr,TRUE,FALSE,,FALSE
54,209500,3,2,condo,FALSE,for sale,,,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,2178,2011,565094,22801,concrete,metal,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,contemporary,FALSE,FALSE,,,,,1436,,Norwood St,TRUE,FALSE,,FALSE
55,194900,3,2,condo,TRUE,for sale,other,,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,0.27,2003,563863,22802,,composition,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,,1874,,Virginia Ave,TRUE,FALSE,,FALSE
56,160000,3,1,condo,TRUE,for sale,,,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,3920,1980,563642,22802,,composition,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,,1920,,Meadowlark Dr,TRUE,FALSE,,FALSE
57,168000,3,2,single-family home,TRUE,pending,carport,,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,2.19,1952,564459,22841,"carpet, hardwood, linoleumvinyl",metal,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,capecod,FALSE,FALSE,,,,,1626,,Summit Church Rd,TRUE,TRUE,,FALSE
58,164900,3,2,condo,TRUE,pending,other,,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,5662,1987,563746,22812,"carpet, hardwood, linoleumvinyl",composition,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,,1182,,Stephen Cir,TRUE,FALSE,,FALSE
59,72000,2,2,condo,TRUE,pending,,,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,,1987,564744,22801,"carpet, linoleumvinyl",composition,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,,953,,Hunters Rd #I,TRUE,FALSE,,FALSE
60,275000,4,2,single-family home,FALSE,for sale,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.3,1988,564645,22801,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,,2720,,Springfield Dr,FALSE,FALSE,,FALSE
61,389900,4,3,single-family home,FALSE,for sale,other,,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.35,2006,565288,22815,"carpet, hardwood",composition,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,colonial,FALSE,FALSE,,,,,3994,,Eisenhower Dr,TRUE,FALSE,,FALSE
62,212500,3,2,single-family home,TRUE,pending,,,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,7840,1999,563335,22802,"carpet, laminate, linoleumvinyl",composition,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,split-level,FALSE,FALSE,,,,,1568,,Shenstone Dr,TRUE,FALSE,,FALSE
63,199000,4,1,single-family home,FALSE,pending,1,,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,8276,1940,565078,22802,"hardwood, tile",metal,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,bungalow,FALSE,FALSE,,,,,1458,,N Willow St,TRUE,FALSE,,FALSE
64,249900,3,1,single-family home,FALSE,for sale,other,,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,0.3,1965,565012,22821,"hardwood, linoleumvinyl, slate",composition,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,ranchrambler,FALSE,FALSE,,,,,3414,,Sunset Dr,FALSE,TRUE,,FALSE
65,198500,4,1,single-family home,TRUE,for sale,other,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,1,1950,563672,24467,,composition,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,,1674,,Lee Hwy,TRUE,FALSE,,FALSE
66,144000,3,1,single-family home,FALSE,for sale,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.3,1950,564380,22802,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,,1092,,Moore St,FALSE,FALSE,,FALSE
67,189000,2,1,single-family home,TRUE,pending,,,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,3920,1912,565210,22802,laminate,metal,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,bungalow,TRUE,FALSE,stucco,,,forced-air,1260,,Collicello St,TRUE,TRUE,gas,FALSE
68,209000,3,3,condo,FALSE,for sale,other,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,8401,2003,565027,22802,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,,1640,,Wordsworth Ct,FALSE,FALSE,,FALSE
69,120000,4,2,townhouse,FALSE,for sale,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,1989,564832,22801,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,,1352,,Bradley Dr,FALSE,FALSE,,FALSE
70,172500,3,1,townhouse,FALSE,pending,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4356,1983,563311,22812,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,,1474,,Barbee St,FALSE,FALSE,,FALSE
71,285000,4,2,single-family home,FALSE,for sale,"carport, other",,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,0.61,1976,565227,22815,"carpet, hardwood, linoleumvinyl",composition,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,,2583,,S Sunset Dr,TRUE,FALSE,,FALSE
72,189900,2,1,single-family home,TRUE,for sale,,,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,0.5,1947,563873,22840,,metal,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,,2000,,Lawyer Rd,TRUE,FALSE,,FALSE
73,299900,4,4,single-family home,TRUE,for sale,other,,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.33,1993,564694,22802,"carpet, laminate, linoleumvinyl, tile",composition,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,contemporary,FALSE,FALSE,,,,,3110,,Longview Dr,TRUE,TRUE,,FALSE
74,135000,3,2,condo,TRUE,for sale,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2178,2004,564212,22802,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,,1120,,Commercial Ct,FALSE,FALSE,,FALSE
